Notes,Species name,Order name,Family name,Accession number,Oskar presence,Protein annotations,GeneBank annotations,GFF3 annotations,Genomic fasta file,RNA fasta file,TO DO
Use as HMM model,Catajapyx aquilonaris,Diplura,Japygidae,GCA_000934665.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Orchesella cincta,Collembola,Entomobryidae,GCA_001718145.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Use as HMM model,Zootermopsis nevadensis,Blattodea,Termopsidae,GCA_000696155.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Nasutitermes exitiosus,Blattodea,Termitidae,GCA_001404035.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Blattella germanica,Blattodea,Ectobiidae,GCA_000762945.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use as HMM model,Pediculus humanus corporis,Phthiraptera,Pediculidae,GCA_000006295.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
Meta-HMM,Isoperla grammatica,Plecoptera,Perlodidae,GCA_001676475.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Amphinemura sulcicollis,Plecoptera,Nemouridae,GCA_001676325.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use as HMM model,Limnephilus lunatus,Trichoptera,Limnephilidae,GCA_000648945.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use as HMM model,Frankliniella occidentalis,Thysanoptera,Thripidae,GCA_000697945.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use as HMM model,Mengenilla moldrzyki,Strepsiptera,Mengenillidae,GCA_000281935.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Meta-HMM,Ephemera danica,Ephemeroptera,Ephemeridae,GCA_000507165.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Baetis rhodani,Ephemeroptera,Baetidae,GCA_001676355.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,,,,,,,,,,,
Use for meta-HMM,Bemisia tabaci,Hemiptera,Aleyrodidae,GCA_001854935.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Oncopeltus fasciatus,Hemiptera,Lygaeidae,GCA_000696205.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Rhodnius prolixus,Hemiptera,Reduviidae,GCA_000181055.3,N/A,No,Yes,Yes,Yes,No,Use Augustus
Choose randomly a species,Myzus persicae,Hemiptera,Aphididae,GCA_001856785.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Diuraphis noxia,Hemiptera,Aphididae,GCA_001938505.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Acyrthosiphon pisum,Hemiptera,Aphididae,GCA_000142985.2,N/A,No,Yes,Yes,Yes,No,Use Augustus
Choose randomly a species,Cimex lectularius,Hemiptera,Cimicidae,GCA_001460545.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Cimex hemipterus,Hemiptera,Cimicidae,GCA_001663875.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Choose randomly a species,Pachypsylla venusta,Hemiptera,Psyllidae,GCA_000695645.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Diaphorina citri,Hemiptera,Psyllidae,GCA_000475195.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Homalodisca vitripennis,Hemiptera,Cicadellidae,GCA_000696855.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Choose randomly a species,Paracoccus marginatus,Hemiptera,Pseudococcidae,GCA_900065295.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Ferrisia virgata,Hemiptera,Pseudococcidae,GCA_900060175.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Trionymus perrisii,Hemiptera,Pseudococcidae,GCA_900050545.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Pseudococcus longispinus,Hemiptera,Pseudococcidae,GCA_900064475.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Maconellicoccus hirsutus,Hemiptera,Pseudococcidae,GCA_900064465.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Trabutina mannipara,Hemiptera,Pseudococcidae,GCA_900080175.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Nilaparvata lugens,Hemiptera,Delphacidae,GCA_000757685.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Gerris buenoi,Hemiptera,Gerridae,GCA_001010745.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Choose randomly a species,Dactylopius coccus,Hemiptera,Dactylopiidae,GCA_000833685.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Halyomorpha halys,Hemiptera,Pentatomidae,GCA_000696795.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Piezodorus guildinii,Hemiptera,Pentatomidae,GCA_000786065.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,,,,,,,,,,,
,Diachasma alloeum,Hymenoptera,Braconidae,GCA_001412515.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Cotesia vestalis,Hymenoptera,Braconidae,GCA_001675545.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Microplitis demolitor,Hymenoptera,Braconidae,GCA_000572035.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Fopius arisanus,Hymenoptera,Braconidae,GCA_000806365.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Choose randomly a species,Nasonia longicornis,Hymenoptera,Pteromalidae,GCA_000004795.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Nasonia giraulti,Hymenoptera,Pteromalidae,GCA_000004775.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Nasonia vitripennis,Hymenoptera,Pteromalidae,GCA_000002325.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
Choose randomly a species,Polistes canadensis,Hymenoptera,Vespidae,GCA_001313835.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
