Species name,Order name,Family name,#Protein,#EST
Catajapyx aquilonaris,Diplura,Japygidae,N/A,0
Orchesella cincta,Collembola,Entomobryidae,N/A,1146
Zootermopsis nevadensis,Blattodea,Termopsidae,14610,1
Nasutitermes exitiosus,Blattodea,Termitidae,N/A,0
Blattella germanica,Blattodea,Ectobiidae,N/A,8351
Pediculus humanus corporis,Phthiraptera,Pediculidae,10775,1188
Isoperla grammatica,Plecoptera,Perlodidae,N/A,0
Amphinemura sulcicollis,Plecoptera,Nemouridae,N/A,0
Limnephilus lunatus,Trichoptera,Limnephilidae,N/A,0
Frankliniella occidentalis,Thysanoptera,Thripidae,N/A,13843
Mengenilla moldrzyki,Strepsiptera,Mengenillidae,N/A,0
Ephemera danica,Ephemeroptera,Ephemeridae,N/A,0
Baetis rhodani,Ephemeroptera,Baetidae,N/A,0
Bemisia tabaci,Hemiptera,Aleyrodidae,N/A,12094
Oncopeltus fasciatus,Hemiptera,Lygaeidae,N/A,1120
Rhodnius prolixus,Hemiptera,Reduviidae,N/A,16113
Myzus persicae,Hemiptera,Aphididae,N/A,28988
Diuraphis noxia,Hemiptera,Aphididae,N/A,1085
Acyrthosiphon pisum,Hemiptera,Aphididae,N/A,219173
Cimex lectularius,Hemiptera,Cimicidae,N/A,7131
Cimex hemipterus,Hemiptera,Cimicidae,N/A,0
Pachypsylla venusta,Hemiptera,Psyllidae,N/A,0
Diaphorina citri,Hemiptera,Psyllidae,N/A,19606
Homalodisca vitripennis,Hemiptera,Cicadellidae,N/A,20030
Paracoccus marginatus,Hemiptera,Pseudococcidae,N/A,0
Ferrisia virgata,Hemiptera,Pseudococcidae,N/A,0
Trionymus perrisii,Hemiptera,Pseudococcidae,N/A,0
Pseudococcus longispinus,Hemiptera,Pseudococcidae,N/A,0
Maconellicoccus hirsutus,Hemiptera,Pseudococcidae,N/A,7696
Trabutina mannipara,Hemiptera,Pseudococcidae,N/A,0
Nilaparvata lugens,Hemiptera,Delphacidae,N/A,118141
Gerris buenoi,Hemiptera,Gerridae,N/A,0
Dactylopius coccus,Hemiptera,Dactylopiidae,N/A,0
Halyomorpha halys,Hemiptera,Pentatomidae,N/A,0
Piezodorus guildinii,Hemiptera,Pentatomidae,N/A,0
Diachasma alloeum,Hymenoptera,Braconidae,N/A,0
Cotesia vestalis,Hymenoptera,Braconidae,N/A,0
Microplitis demolitor,Hymenoptera,Braconidae,N/A,4
Fopius arisanus,Hymenoptera,Braconidae,N/A,0
Nasonia longicornis,Hymenoptera,Pteromalidae,N/A,0
Nasonia giraulti,Hymenoptera,Pteromalidae,N/A,30060
Nasonia vitripennis,Hymenoptera,Pteromalidae,N/A,146761
Polistes canadensis,Hymenoptera,Vespidae,N/A,44
Polistes dominula,Hymenoptera,Vespidae,N/A,0
Bombus terrestris,Hymenoptera,Apidae,N/A,29490
Habropoda laboriosa,Hymenoptera,Apidae,12847,0
Melipona quadrifasciata,Hymenoptera,Apidae,14257,767
Apis mellifera intermissa,Hymenoptera,Apidae,N/A,0
Bombus impatiens,Hymenoptera,Apidae,N/A,1
Apis dorsata,Hymenoptera,Apidae,N/A,0
Ceratina calcarata,Hymenoptera,Apidae,N/A,0
Eufriesea mexicana,Hymenoptera,Apidae,11305,0
Apis florea,Hymenoptera,Apidae,N/A,0
Apis cerana,Hymenoptera,Apidae,N/A,115
