Order name,Species name,Accession number,#EST
Collembola,Orchesella cincta,GCA_001718145.1,1146
Blattodea,Blattella germanica,GCA_000762945.1,8322
Phthiraptera,Pediculus humanus corporis,GCA_000006295.1,1127
Plecoptera,Isoperla grammatica,GCA_001676475.1,0
Thysanoptera,Frankliniella occidentalis,GCA_000697945.1,13839
Strepsiptera,Mengenilla moldrzyki,GCA_000281935.1,0
Ephemeroptera,Ephemera danica,GCA_000507165.1,0
Hemiptera,Acyrthosiphon pisum,GCA_000142985.2,214834
Hymenoptera,Apis mellifera,GCA_000002195.1,169511
Lepidoptera,Bombyx mori,GCA_000325555.1,568825
Coleoptera,Dendroctonus ponderosae,GCA_000346045.2,185437
Phasmatodea,Timema cristinae,GCA_002009905.1,0
Orthoptera,Locusta migratoria,GCA_000516895.1,45709
