#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000004095.1	PRJNA31231	SAMN00000081	ACZU00000000.1	representative genome	6087	6087	Hydra vulgaris	strain=105		latest	Scaffold	Major	Full	2009/10/30	Hydra_RP_1.0	JCVI	GCA_000004095.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/095/GCF_000004095.1_Hydra_RP_1.0		
GCF_000237925.1	PRJNA39937	SAMEA2272516	CABG00000000.1	representative genome	6183	6183	Schistosoma mansoni	strain=Puerto Rico		latest	Chromosome	Major	Full	2011/12/13	ASM23792v2	Schistosoma Genome Network	GCA_000237925.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/925/GCF_000237925.1_ASM23792v2		
GCF_000699445.1	PRJNA273970	SAMN00794683	AMPZ00000000.1	representative genome	6185	6185	Schistosoma haematobium			latest	Scaffold	Major	Full	2014/06/09	SchHae_1.0	The University of Melbourne	GCA_000699445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/445/GCF_000699445.1_SchHae_1.0		
GCF_000715545.1	PRJNA259756	SAMN00996407	JACJ00000000.1	representative genome	6198	6198	Opisthorchis viverrini			latest	Scaffold	Major	Full	2014/07/09	OpiViv1.0	The University of Melbourne	GCA_000715545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/715/545/GCF_000715545.1_OpiViv1.0		
GCF_000004555.1	PRJNA20855		CAAC00000000.2	representative genome	6238	6238	Caenorhabditis briggsae	strain=AF16		latest	Chromosome	Major	Full	2008/05/01	ASM455v1	The C.briggsae Sequencing Consortium	GCA_000004555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.1_ASM455v1		
GCF_000002985.6	PRJNA158	SAMEA3138177		reference genome	6239	6239	Caenorhabditis elegans	strain=Bristol N2		latest	Complete Genome	Major	Full	2013/02/07	WBcel235	C. elegans Sequencing Consortium	GCA_000002985.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235		
GCF_000002995.3	PRJNA27801	SAMN02953652	AAQA00000000.1	representative genome	6279	6279	Brugia malayi			latest	Scaffold	Major	Full	2008/03/04	ASM299v2	TIGR	GCA_000002995.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.3_ASM299v2		
GCF_000181795.1	PRJNA66457	SAMN02953711	ABIR00000000.2	representative genome	6334	6334	Trichinella spiralis	strain=ISS 195		latest	Scaffold	Major	Full	2011/01/11	Trichinella spiralis-3.7.1	Washington University School of Medicine	GCA_000181795.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/795/GCF_000181795.1_Trichinella_spiralis-3.7.1		
GCF_000326865.1	PRJNA259764	SAMN02769625	AMQM00000000.1	representative genome	6412	6412	Helobdella robusta			latest	Scaffold	Major	Full	2012/12/20	Helobdella robusta v1.0	DOE Joint Genome Institute	GCA_000326865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/326/865/GCF_000326865.1_Helobdella_robusta_v1.0		
GCF_000002075.1	PRJNA209509	SAMN02953658	AASC00000000.3	representative genome	6500	6500	Aplysia californica		F4 #8	latest	Scaffold	Major	Full	2013/05/15	AplCal3.0	Broad Institute	GCA_000002075.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/075/GCF_000002075.1_AplCal3.0		
GCF_000457365.1	PRJNA290623	SAMN02953846	APKA00000000.1	representative genome	6526	6526	Biomphalaria glabrata		BB02	latest	Scaffold	Major	Full	2013/09/06	ASM45736v1	Washington University (WashU)	GCA_000457365.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/457/365/GCF_000457365.1_ASM45736v1		
GCF_000517525.1	PRJNA238073	SAMN02953878	AZTN00000000.1	representative genome	6850	6850	Limulus polyphemus			latest	Scaffold	Major	Full	2014/01/03	Limulus_polyphemus-2.1.2	Washington University (WashU)	GCA_000517525.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/525/GCF_000517525.1_Limulus_polyphemus-2.1.2		
GCF_000208615.1	PRJNA34667	SAMN03004382	ABJB000000000.1	representative genome	6945	6945	Ixodes scapularis	strain=Wikel colony		latest	Scaffold	Major	Full	2008/04/18	JCVI_ISG_i3_1.0	Ixodes scapularis Genome Project	GCA_000208615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/615/GCF_000208615.1_JCVI_ISG_i3_1.0		
GCF_000142985.2	PRJNA29489	SAMN00000061	ABLF00000000.2	representative genome	7029	7029	Acyrthosiphon pisum	strain=LSR1		latest	Scaffold	Major	Full	2010/06/24	Acyr_2.0	Baylor College of Medicine	GCA_000142985.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/985/GCF_000142985.2_Acyr_2.0		
GCF_001854935.1	PRJNA352527	SAMN04500967	MAMS00000000.1	representative genome	7038	7038	Bemisia tabaci		MEAM1	latest	Scaffold	Major	Full	2016/10/26	ASM185493v1	Cornell University	GCA_001854935.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/935/GCF_001854935.1_ASM185493v1		
GCF_000002335.3	PRJNA15718	SAMN02953634	AAJJ00000000.2	representative genome	7070	7070	Tribolium castaneum	strain=Georgia GA2		latest	Chromosome	Major	Full	2016/03/10	Tcas5.2	Kansas State University	GCA_000002335.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/335/GCF_000002335.3_Tcas5.2		
