Species id,Species name,Family id,Family name,Order id,Order name,Acession number
884341,Heliconius numata tarapotensis,33415,Nymphalidae,7088,Lepidoptera,GCA_001486745.1
144034,Pogonomyrmex barbatus,36668,Formicidae,7399,Hymenoptera,GCA_000187915.1
7220,Drosophila erecta,7214,Drosophilidae,7147,Diptera,GCA_000005135.1
7222,Drosophila grimshawi,7214,Drosophilidae,7147,Diptera,GCA_000005155.1
7225,Scaptodrosophila lebanonensis,7214,Drosophilidae,7147,Diptera,GCA_001014445.1
248311,Heliconius melpomene aglaope,33415,Nymphalidae,7088,Lepidoptera,GCA_001486105.1
7227,Drosophila melanogaster,7214,Drosophilidae,7147,Diptera,GCA_001014345.1
7229,Drosophila miranda,7214,Drosophilidae,7147,Diptera,GCA_001014365.1
77166,Dendroctonus ponderosae,7042,Curculionidae,7041,Coleoptera,GCA_000346045.2
7385,Neobellieria bullata,7381,Sarcophagidae,7147,Diptera,GCA_001017455.1
104452,Operophtera brumata,82593,Geometridae,7088,Lepidoptera,GCA_001266575.1
252483,Paracoccus marginatus,30190,Pseudococcidae,7524,Hemiptera,GCA_900065295.1
50550,Priacma serrata,50548,Cupedidae,7041,Coleoptera,GCA_000281835.1
13632,Lucilia sericata,7371,Calliphoridae,7147,Diptera,GCA_001014835.1
248310,Heliconius melpomene malleti,33415,Nymphalidae,7088,Lepidoptera,GCA_001510935.1
328831,Heliconius cydno cordula,33415,Nymphalidae,7088,Lepidoptera,GCA_001485865.1
248312,Heliconius melpomene amaryllis,33415,Nymphalidae,7088,Lepidoptera,GCA_001486145.1
411798,Vollenhovia emeryi,36668,Formicidae,7399,Hymenoptera,GCA_000949405.1
441047,Heliconius ethilla aerotome,33415,Nymphalidae,7088,Lepidoptera,GCA_001485785.1
29053,Copidosoma floridanum,29051,Encyrtidae,7399,Hymenoptera,GCA_000648655.1
28588,Bactrocera cucurbitae,7211,Tephritidae,7147,Diptera,GCA_000806345.1
33427,Heliconius ismenius,33415,Nymphalidae,7088,Lepidoptera,GCA_001485965.1
56086,Gerris buenoi,36161,Gerridae,7524,Hemiptera,GCA_001010745.1
13249,Rhodnius prolixus,27479,Reduviidae,7524,Hemiptera,GCA_000181055.3
454923,Diachasma alloeum,7402,Braconidae,7399,Hymenoptera,GCA_001412515.1
13164,Myzus persicae,27482,Aphididae,7524,Hemiptera,GCA_001856785.1
1352481,Eristalis dimidiata,34680,Syrphidae,7147,Diptera,GCA_001015145.1
46245,Drosophila pseudoobscura pseudoobscura,7214,Drosophilidae,7147,Diptera,GCA_000149495.1
7394,Glossina morsitans,7392,Glossinidae,7147,Diptera,GCA_001014515.1
63434,Leptopilina clavipes,44353,Figitidae,7399,Hymenoptera,GCA_001855655.1
30195,Bombus terrestris,7458,Apidae,7399,Hymenoptera,GCA_000214255.1
143948,Diuraphis noxia,27482,Aphididae,7524,Hemiptera,GCA_001938505.1
69004,Anopheles farauti,7157,Culicidae,7147,Diptera,GCA_000956265.1
168631,Chilo suppressalis,268499,Crambidae,7088,Lepidoptera,GCA_000636095.1
307658,Monomorium pharaonis,36668,Formicidae,7399,Hymenoptera,GCA_000980195.3
7398,Glossina pallidipes,7392,Glossinidae,7147,Diptera,GCA_000688715.1
204567,Chaoborus trivitattus,41811,Chaoboridae,7147,Diptera,GCA_001014815.1
34720,Trachymyrmex septentrionalis,36668,Formicidae,7399,Hymenoptera,GCA_001594115.1
217443,Cotesia vestalis,7402,Braconidae,7399,Hymenoptera,GCA_001675545.1
116153,Aethina tumida,116151,Nitidulidae,7041,Coleoptera,GCA_001937115.1
462259,Phortica variegata,7214,Drosophilidae,7147,Diptera,GCA_001014415.1
13686,Solenopsis invicta,36668,Formicidae,7399,Hymenoptera,GCA_000188075.1
136037,Zootermopsis nevadensis,7501,Termopsidae,85823,Blattodea,GCA_000696155.1
91411,Polistes canadensis,7438,Vespidae,7399,Hymenoptera,GCA_001313835.1
691633,Calycopis cecrops,27544,Lycaenidae,7088,Lepidoptera,GCA_001625245.1
568069,Clunio marinus,7149,Chironomidae,7147,Diptera,GCA_900005825.1
597456,Habropoda laboriosa,7458,Apidae,7399,Hymenoptera,GCA_001263275.1
112268,Anopheles minimus,7157,Culicidae,7147,Diptera,GCA_000349025.1
143724,Amphinemura sulcicollis,62802,Nemouridae,50622,Plecoptera,GCA_001676325.1
104688,Bactrocera oleae,7211,Tephritidae,7147,Diptera,GCA_001014625.1
1577616,Cirrula hians,48991,Ephydridae,7147,Diptera,GCA_001015075.1
1577617,Holcocephala fusca,50673,Asilidae,7147,Diptera,GCA_001015215.1
1577614,Condylostylus patibulatus,92558,Dolichopodidae,7147,Diptera,GCA_001014875.1
1577615,Ephydra gracilis,48991,Ephydridae,7147,Diptera,GCA_001014675.1
103372,Acromyrmex echinatior,36668,Formicidae,7399,Hymenoptera,GCA_000204515.1
315563,Belgica antarctica,7149,Chironomidae,7147,Diptera,GCA_000775305.1
610380,Harpegnathos saltator,36668,Formicidae,7399,Hymenoptera,GCA_000147195.1
67767,Lasius niger,36668,Formicidae,7399,Hymenoptera,GCA_001045655.1
69319,Microplitis demolitor,7402,Braconidae,7399,Hymenoptera,GCA_000572035.2
197043,Homalodisca vitripennis,30102,Cicadellidae,7524,Hemiptera,GCA_000696855.1
1577618,Sarcophagidae sp. BV-2014,7381,Sarcophagidae,7147,Diptera,GCA_001047195.1
62324,Anopheles funestus,7157,Culicidae,7147,Diptera,GCA_000349085.1
114634,Nasutitermes exitiosus,46569,Termitidae,85823,Blattodea,GCA_001404035.1
1155016,Mengenilla moldrzyki,50600,Mengenillidae,30261,Strepsiptera,GCA_000281935.1
199890,Anopheles epiroticus,7157,Culicidae,7147,Diptera,GCA_000349105.1
573617,Heliconius timareta timareta,33415,Nymphalidae,7088,Lepidoptera,GCA_001486465.1
